meas_idx;field_idx;I;J;r
1;1;2;2;10
2;1;3;2;10
3;1;4;2;10
4;1;5;2;10
5;1;7;2;10
6;1;10;2;10
7;1;12;2;10
8;1;13;2;10
9;1;15;2;10
10;1;17;2;10
11;1;20;2;10
12;1;25;2;10
13;1;30;2;10
14;1;2;5;10
15;1;3;5;10
16;1;4;5;10
17;1;5;5;10
18;1;7;5;10
19;1;10;5;10
20;1;12;5;10
21;1;13;5;10
22;1;15;5;10
23;1;17;5;10
24;1;20;5;10
25;1;25;5;10
26;1;30;5;10
27;1;2;10;10
28;1;3;10;10
29;1;4;10;10
30;1;5;10;10
31;1;7;10;10
32;1;10;10;10
33;1;12;10;10
34;1;13;10;10
35;1;15;10;10
36;1;17;10;10
37;1;20;10;10
38;1;25;10;10
39;1;30;10;10
40;1;2;20;10
41;1;3;20;10
42;1;4;20;10
43;1;5;20;10
44;1;7;20;10
45;1;10;20;10
46;1;12;20;10
47;1;13;20;10
48;1;15;20;10
49;1;17;20;10
50;1;20;20;10
51;1;25;20;10
52;1;30;20;10
53;1;2;30;10
54;1;3;30;10
55;1;4;30;10
56;1;5;30;10
57;1;7;30;10
58;1;10;30;10
59;1;12;30;10
60;1;13;30;10
61;1;15;30;10
62;1;17;30;10
63;1;20;30;10
64;1;25;30;10
65;1;30;30;10
66;1;2;30;0.1
67;1;3;30;0.1
68;1;4;30;0.1
69;1;5;30;0.1
70;1;7;30;0.1
71;1;10;30;0.1
72;1;12;30;0.1
73;1;13;30;0.1
74;1;15;30;0.1
75;1;17;30;0.1
76;1;20;30;0.1
77;1;25;30;0.1
78;1;30;30;0.1
79;1;2;30;1
80;1;3;30;1
81;1;4;30;1
82;1;5;30;1
83;1;7;30;1
84;1;10;30;1
85;1;12;30;1
86;1;13;30;1
87;1;15;30;1
88;1;17;30;1
89;1;20;30;1
90;1;25;30;1
91;1;30;30;1
